Uniprot_Accession,Gene_Name,Classification,Confidence_Level,Similarity_Score,SMILES
P61073,CXCR4,inhibitor,2,0.5469,C(CCNCCCN)CNCCCN
P61073,CXCR4,inhibitor,2,0.5312,C(CCNCCCN)CN
P33527,ABCC1,inhibitor,2,0.5236,C1=CC=C2C(=C1)C=CC=C2N=C=S
P52732,KIF11,inhibitor,1,0.518,FC(F)(F)C1=CC2=C(C=C1)NC3=CC=CC=C32
O15379,HDAC3,inhibitor,1,0.5173,NC1=CC=CC=C1NC(CCCCC[C@H](NC(CNC([C@@H](N)CCCNC(N)=N)=O)=O)C(NC2=C(N)C=CC=C2)=O)=O
Q6RVA0,MDR1,inhibitor,2,0.5169,O=C(N1CCOCCOCCN(C(CC2(C[C@H](C3)C4)C[C@H]4C[C@H]3C2)=O)CCOCCOCCC1)CC56C[C@@H]7C[C@@H](C[C@H](C6)C7)C5
P61073,CXCR4,inhibitor,2,0.5146,C[C@@H](C1=CC=CC2=CC=CC=C21)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=CC=C(C=C3)CNCC4=CC=CC=N4
P42345,MTOR,inhibitor,2,0.5117,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
P61073,CXCR4,inhibitor,2,0.5117,NCCCCCCNC1=NC(NCCCCCCN)=NC(NCCCCCCN)=N1
P49841,GSK3B,inhibitor,2,0.5096,O=C1C([C@@H](CC2CC(NC(C2)=O)=O)O)C[C@@H](C)C[C@H]1C
P42345,MTOR,inhibitor,2,0.5096,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
P33527,ABCC1,inhibitor,2,0.5079,O[C@@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)CCC(O)=O)[C@@H]3CC[C@@H]2C1.C
P37231,PPARG,activator,2,0.5078,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CO)/C)/C)/C)C
P16152,CBR1,inhibitor,2,0.5078,CC(=CCCC(=CCCC(=CCO)C)C)C
P33527,ABCC1,inhibitor,2,0.5078,CC(=CCC/C(=C/C=O)/C)C
,tubulin,activator,1,0.5057,COC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC=CC=C3
Q07812,BAX,inhibitor,3,0.5038,O=C([C@H](CCC1)N1C([C@@H](N)C(C)C)=O)N[C@@H](CCSC)C(N[C@@H](CC(C)C)C(N[C@H](C(O)=O)CCCCN)=O)=O
