Uniprot_Accession,Gene_Name,Classification,Confidence_Level,Similarity_Score,SMILES
P49841,GSK3B,inhibitor,2,1.0,CCOC(=O)C1=CC=CC=C1NCC2=CC(=O)OC3=CC(=C(C=C23)O)O
Q96EB6,SIRT1,activator,3,0.658,O=C1C=C(CN(CC2=CC=C(F)C=C2)C)C(C=CC(O)=C3)=C3O1
P49841,GSK3B,inhibitor,2,0.6141,CC1=CC2=CC(=CC(=C2C3=C1C(=CC(=O)O3)O)O)O
P61073,CXCR4,inhibitor,2,0.5469,C(CCNCCCN)CNCCCN
Q96EB6,SIRT1,activator,3,0.532,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
P68400,CSNK2A1,inhibitor,2,0.532,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
P19784,CSNK2A2,inhibitor,2,0.532,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
P67870,CSNK2B,inhibitor,2,0.532,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
P61073,CXCR4,inhibitor,2,0.5312,C(CCNCCCN)CN
P30304,CDC25A,inhibitor,1,0.527,O=C1OC2=CC(OC)=CC=C2C(/C=C/C(C3=CC(OC)=C(OC)C=C3)=O)=C1
P68400,CSNK2A1,inhibitor,2,0.5241,O=C1OC2=C(Br)C(O)=CC=C2C3=C1C=C(O)C=C3
P19784,CSNK2A2,inhibitor,2,0.5241,O=C1OC2=C(Br)C(O)=CC=C2C3=C1C=C(O)C=C3
P67870,CSNK2B,inhibitor,2,0.5241,O=C1OC2=C(Br)C(O)=CC=C2C3=C1C=C(O)C=C3
P49841,GSK3B,inhibitor,2,0.5209,CC1=CC(=O)OC2=C1C=CC(=C2NC(=O)CC3=CC=CC=C3C(=O)O)O
P42345,MTOR,inhibitor,2,0.5176,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
P61073,CXCR4,inhibitor,2,0.5176,NCCCCCCNC1=NC(NCCCCCCN)=NC(NCCCCCCN)=N1
P33527,ABCC1,inhibitor,2,0.5176,C1=CC=C2C(=C1)C=CC=C2N=C=S
P16152,CBR1,inhibitor,2,0.517,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O
O00744,WNT10B,inhibitor,1,0.5138,COC1=C(C=CC(=C1)C(=O)OC)O
P30304,CDC25A,inhibitor,1,0.5114,O=C1OC2=CC(O)=CC=C2C(/C=C/C(C3=CC([H])=C([H])C=C3)=O)=C1
Q8TF76,HASPIN,inhibitor,1,0.5104,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O
P37231,PPARG,activator,2,0.5078,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CO)/C)/C)/C)C
P16152,CBR1,inhibitor,2,0.5078,CC(=CCCC(=CCCC(=CCO)C)C)C
P33527,ABCC1,inhibitor,2,0.5078,CC(=CCC/C(=C/C=O)/C)C
P30304,CDC25A,inhibitor,1,0.5065,O=C1OC2=CC(OC)=CC=C2C(/C=C/C(C3=CC(OC)=C([H])C=C3)=O)=C1
P33527,ABCC1,inhibitor,2,0.5043,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O
P33527,ABCC1,inhibitor,2,0.502,O[C@@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)CCC(O)=O)[C@@H]3CC[C@@H]2C1.C
P33527,ABCC1,inhibitor,2,0.5,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
Q9BYW2,SETD2,inhibitor,1,0.4989,O=C(NC1=CC=CC=C1)NC(C=C2)=CC=C2NCC3=CC=CC(O)=C3
P53350,PLK1,inhibitor,1,0.4947,OC1=C(C(C(O)=CC=C2)=O)C2=CC(O)=C1O
P29375,KDM5A,inhibitor,2,0.494,O=C1OC2=CC(C)=CC(O[C@H](C)C(NCC(NCC([O-])=O)=O)=O)=C2C3=C1CCC3
P49841,GSK3B,inhibitor,2,0.4936,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
O96017,CHEK2,inhibitor,1,0.4927,CC(=NN=C(N)N)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C(=NN=C(N)N)C
Q9BYW2,SETD2,inhibitor,1,0.4926,O=C(NC1=CC(C(O)=O)=CC=C1)COC(C=C2)=CC=C2C34C[C@@H]5C[C@@H](C[C@H](C4)C5)C3
P49841,GSK3B,inhibitor,2,0.4921,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O
P16152,CBR1,inhibitor,2,0.4916,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
Q6RVA0,MDR1,inhibitor,2,0.4906,CC/C(C1=CC=C(O)C=C1)=C(CC)\C2=CC=C(O)C=C2
,tubulin,inhibitor,1,0.4906,COC1=C(C=C(C=C1)N=NC2=CC(=C(C(=C2)OC)OC)OC)O
P37231,PPARG,activator,2,0.4895,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
,tubulin,activator,1,0.4895,COC1=C(C=C(C=C1)CCC2=CC(=C(C(=C2)OC)OC)OC)O
P49841,GSK3B,inhibitor,2,0.4894,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O
O14965,AURKA,inhibitor,1,0.4875,O=C(COC2=CC=C(CC)C=C2)N1CCCCC1
O00418,EEF2K,inhibitor,2,0.4875,O=C1C(C(NC2=CC=C(CN3CCOCC3)C=C2)=O)=CC4=CC(O)=CC=C4O1
O00418,EEF2K,inhibitor,2,0.4875,O=C(NC1=CC=C(CN2CCOCC2)C=C1)C3=CC4=CC(O)=CC=C4OC3=O
O15297,PPM1D,inhibitor,1,0.4864,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O
P61073,CXCR4,inhibitor,2,0.4863,NCCCCNC1=NC(NCCCCN)=NC(NCCCCN)=N1
P56524,HDAC4,inhibitor,2,0.4863,O=C(NOCCCCCC(NO)=O)C1=CC(C)=CC(C)=C1
Q13153,PAK1,allosteric regulator,3,0.4863,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
P52732,KIF11,inhibitor,1,0.4855,FC(F)(F)C1=CC2=C(C=C1)NC3=CC=CC=C32
Q13153,PAK1,allosteric regulator,3,0.4854,C1=CC=C2C(=O)C=CC(=O)C2=C1
O75914,PAK3,inhibitor,3,0.4854,O=C1C=CC(C2=CC=CC=C21)=O
P31350,RRM2,inhibitor,1,0.4851,C1=C(C=C(C(=C1O)O)O)C(=NO)N
P61073,CXCR4,inhibitor,2,0.4844,CN(C)CCN(CCN(C)C)CCN(C)C
P33527,ABCC1,inhibitor,2,0.4843,OC(C=CC(/C=C/C(OCCC1=CC=CC=C1)=O)=C2)=C2O
P11388,TOP2A,inhibitor,1,0.4843,C1=CC=C2C(=C1)C=NN2.C1=CC=C2C(=C1)C=NN2.[Cl-].[Cl-].[Cl-].[Cl-].[Ru+3]
P14174,MIF,inhibitor,2,0.4842,C1=CC=C(C=C1)C2=CC(=NC=N2)I
Q6RVA0,MDR1,inhibitor,2,0.4814,O=C(N1CCOCCOCCN(C(CC2(C[C@H](C3)C4)C[C@H]4C[C@H]3C2)=O)CCOCCOCCC1)CC56C[C@@H]7C[C@@H](C[C@H](C6)C7)C5
P27707,DCK,inhibitor,2,0.4811,NC1=NC(SC2=CC(C=CC=C3)=C3C=C2)=NC=C1
P37231,PPARG,activator,2,0.4808,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
P37231,PPARG,activator,2,0.4808,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(O)=CC=C13
P16152,CBR1,inhibitor,2,0.4808,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
P33527,ABCC1,inhibitor,2,0.4808,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
,tubulin,inhibitor,1,0.4808,CCOC(=O)C1=C(OC2=C1C(=C(C3=CC=CC=C32)O)C(C4=CC=NC=C4)N5CCOCC5)C
O00418,EEF2K,inhibitor,2,0.4801,O=C1C(C(NC2=CC=C(CN3CCN(C(OC(C)(C)C)=O)CC3)C=C2)=O)=CC4=CC(O)=CC=C4O1
O00418,EEF2K,inhibitor,2,0.4801,O=C(NC1=CC=C(CN2CCN(C(OC(C)(C)C)=O)CC2)C=C1)C3=CC4=CC(O)=CC=C4OC3=O
Q13153,PAK1,allosteric regulator,3,0.4801,C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
O75914,PAK3,inhibitor,3,0.4801,C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
Q00535,CDK5,inhibitor,3,0.479,O=C1C2=C(C=C(O)C=C2O)OC3=C(O)C=CC(O)=C31
P56524,HDAC4,inhibitor,2,0.4789,CC1=CC(C)=CC(C(NOCCCCC(NO)=O)=O)=C1
,tubulin,inhibitor,1,0.4788,CCOC(=O)C1=C(OC2=C1C(=C(C3=CC=CC=C32)O)C(C4=CC=NC=C4)N5CCN(CC5)C)C
Q06124,PTPN11,inhibitor,3,0.4771,CCC[C@@H](OC[NH2+]C)CC(CCC1=CC=C(O)C(OCC2=CC(C=CC(O)=C3)=C3C=C2)=C1)=O
P43405,SYK,inhibitor,2,0.4761,O=C(/C=C/C1=CC=CC=C1)C2=CC=CN2
P33527,ABCC1,inhibitor,2,0.4753,O=C(C(C=C1C2=CC=C(C(OC)=C2)O)=CC(C1=C3)=CC(OC)=C3O)OC
P14174,MIF,inhibitor,2,0.4747,CC1=CC=CC=C1C(O2)=CC3=CC=CC=C3C2=O
P52732,KIF11,inhibitor,1,0.4741,O=S(NC(C=C1)=CC=C1C2=CC=C(C(F)(F)F)C=C2)(C)=O
P37231,PPARG,activator,2,0.4739,CC(C)(OC1=CC=C(Cl)C=C1)C(OCC)=O
P30304,CDC25A,inhibitor,1,0.4733,OC(/C=C/C1=CC=CC([Sb](O)(O)=O)=C1)=O
P61073,CXCR4,inhibitor,2,0.4719,N1(CC2=NC(CN3CCCCC3)=CC=C2)CCCCC1
P06493,CDK1,inhibitor,1,0.4698,O=C1C2=C(O)C(O)=C(O)C(CN3CCN(C)CC3)=C2OC(C4=CC=CC=C4)=C1
P11388,TOP2A,inhibitor,1,0.4694,ClC1=CC=C2C(N=C(C=CC(OC)=C3)C3=C2CCC4=CC=C(OC)C=C4)=C1
P33527,ABCC1,inhibitor,2,0.4688,OC1=CC(OC2=C3C=CC(OC)=C2)=C(C(O)=C1)C3=O
P31350,RRM2,inhibitor,1,0.4688,C1=CC(=C(N=C1)C=NNC(=S)N)N
P49841,GSK3B,inhibitor,2,0.4679,O=C1C([C@@H](CC2CC(NC(C2)=O)=O)O)C[C@@H](C)C[C@H]1C
P42345,MTOR,inhibitor,2,0.4679,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
O14980,XPO1,inhibitor,2,0.4678,C1C=CC(=O)OC1C=CC2=CC=CC=C2
P16152,CBR1,inhibitor,2,0.4664,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
P33527,ABCC1,inhibitor,2,0.4664,O=C(/C=C/C1=CC(OC)=C(O)C=C1)/C=C/C2=CC(OC)=C(O)C=C2
O14965,AURKA,inhibitor,1,0.4662,ClC1=CC=CC(N2CC[NH+](CC#N)CC2)=C1
O14974,PPP1R12A,inhibitor,3,0.4656,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N
P53350,PLK1,inhibitor,1,0.4651,COC1=C(C=C(C=C1)CCNCC2=CC(=C(C=C2)OCC3=CN=C(C=C3)Cl)OC)OC
P53350,PLK1,inhibitor,1,0.4651,COC1=C(C=C(C=C1)CCNCC2=CC(=C(C=C2)OCC3=CN=C(C=C3)Cl)OC)OC.Cl
P53350,PLK1,inhibitor,1,0.4651,ClC1=CC=C(COC2=CC=C(CNCCC3=CC(OC)=C(OC)C=C3)C=C2OC)C=N1
Q13153,PAK1,inhibitor,3,0.4651,CC1=CC(NC(NC2=CC=CC(C)=C2)=O)=C(C)C=C1
P33527,ABCC1,inhibitor,2,0.4647,O=C(/C=C/C1=CC=CC=C1)C2=CC=CC=C2O
O00744,WNT10B,inhibitor,1,0.4644,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
,tubulin,activator,1,0.4644,COC1=CC2=C(C=C1)NC(=C2)C(=O)C3=CC=CC=C3
P61073,CXCR4,inhibitor,2,0.4627,C1CNC2=NC(=NC(=N2)NCCN)NCCNC3=NC(=NC(=N3)N1)NCCN
,tubulin,inhibitor,1,0.4624,O=C(/C=C/C1=CC(N)=C(OC)C=C1)C2=C(C=CC=C3)C3=C(OC)C=C2
O14965,AURKA,inhibitor,1,0.4617,OCC(CC2)CCN2C1=C([NH2+]C)C=CC=C1
,tubulin,activator,1,0.4615,COC1=C(C=C(C=C1)C=CC=CC2=CC(=C(C(=C2)OC)OC)OC)O
P49841,GSK3B,inhibitor,2,0.4614,C1=CC(=CC=C1C=CC(=O)NCCC2=CNC3=C2C=C(C=C3)O)O
P33527,ABCC1,inhibitor,2,0.4606,C1(C(CC2NCCCC2)C3CCCCC3)CCCCC1
,tubulin,inhibitor,1,0.4595,COC1=CC=C(C=C1)[Se]C2=CC(=C(C(=C2)OC)OC)OC
P37231,PPARG,inhibitor,2,0.4593,ClC1=C(C=C(C=C1)[N+]([O-])=O)C(NC2=CC=NC=C2)=O
,tubulin,inhibitor,1,0.4593,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)NC2=CC=NC=C2)Cl
P52732,KIF11,inhibitor,1,0.4593,FC(F)(F)C1=CC=C(C2=CC=C(NC(N)=S)C=C2)C=C1
P43351,RAD52,inhibitor,3,0.4585,ClCCN(CCCl)C1=CC=C(CCCC(NO)=O)C=C1
P11802,CDK4,inhibitor,1,0.458,N(C=C1)(CCN2C=CC3=C2C=CC=C3)C4=C1C=CC=C4
P49841,GSK3B,inhibitor,2,0.4574,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl
Q13153,PAK1,inhibitor,3,0.457,CO/C=C/C=C/C=C/C1C=CC(/C=C/C=C/C=C/OC)O1
P61073,CXCR4,inhibitor,2,0.4564,N1(CC2=CC=CC(CN3CCOCC3)=N2)CCOCC1
P33527,ABCC1,inhibitor,2,0.4559,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
P31350,RRM2,inhibitor,1,0.4559,C1=CC(=C(C=C1C(=O)NO)O)O
O95271,TNKS,inhibitor,1,0.4558,O=C1C=C(C2=CC=CC=C2)OC3=CC=CC=C31
P30304,CDC25A,inhibitor,1,0.4557,O=C(CSC1=NN=CN1)C2=CC=CC=C2
P36507,MAP2K2,inhibitor,1,0.4547,CC1=C(C(=O)OC2=C1C=CC(=C2)OC3=NC=CC=N3)CC4=C(C(=NC=C4)NS(=O)(=O)NC)F
Q14680,MELK,inhibitor,1,0.4545,COC1=CC(OCC#CC3=CC(C=NC=C4)=C4C=C3)=CC=C1CN2CCNCC2
P49137,MAPKAPK2,inhibitor,2,0.4545,CC1=C([C@]2(CCCC([C@@H]2CC1)(C)C)C)CC/C(=C/CC3=C(C=CC(=C3)C(=O)O)O)/C
Q13535,ATR,inhibitor,2,0.4544,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
,tubulin,activator,1,0.4544,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
P37231,PPARG,activator,2,0.4541,ClC1=CC=CC(OCCCOC2=CC=C([C@H](CC(O)=O)CO3)C3=C2)=C1
P33527,ABCC1,inhibitor,2,0.4538,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
Q6RVA0,MDR1,inhibitor,2,0.4534,O=C1C2=CC=CC=C2OC3=C1C=CC=C3
P14174,MIF,inhibitor,2,0.4523,O=C(OC)CC1ON=C(C2=CC=C(O)C(F)=C2)C1
,tubulin,activator,1,0.4521,COC1=CC(=CC(=C1OC)OC)C=CC2=CC=C(C=C2)N3CCNC3=O
P0DMV9,HSPA1B,inhibitor,3,0.452,C1CN(C(=O)C1=CC2=CC3=C(C=C2)OCO3)C=O
P0DMV8,HSPA1A,inhibitor,3,0.452,C1CN(C(=O)C1=CC2=CC3=C(C=C2)OCO3)C=O
,tubulin,inhibitor,1,0.4519,COC1=C(OC)C=C(/C=C/C(C2=CC=C(N3C=C(CCC4=CC(OC5=C4C=CC=C5)=O)N=N3)C=C2)=O)C=C1OC
P49841,GSK3B,inhibitor,2,0.4508,C1=CC2=C(C=C1Cl)NN=C2NC(=O)CCC(=O)O
P56524,HDAC4,inhibitor,2,0.4505,NC(CCCCCC(NC(C=C1)=CC=C1OC2=CC=CC=C2)=O)=O
O15379,HDAC3,inhibitor,1,0.4498,NC1=C(NC(C2=CC=C(CNC(OCC3=CC=CN=C3)=O)C=C2)=O)C=CC=C1
,tubulin,inhibitor,1,0.4498,COC1=CC=C(C=C1)SC2=CC(=C(C(=C2)OC)OC)OC
P30304,CDC25A,inhibitor,1,0.4491,C1=CC(=C(C2=C1C(=C3C=CC(=O)C(=C3O2)O)CCC(=O)O)O)O
P36956,SREBF1,inhibitor,2,0.4491,CC=C(C)C(=O)OC1C(C(OC2=C1C3=C(C=C2)C=CC(=O)O3)(C)C)OC(=O)C(=CC)C
Q12772,SREBF2,inhibitor,2,0.4491,CC=C(C)C(=O)OC1C(C(OC2=C1C3=C(C=C2)C=CC(=O)O3)(C)C)OC(=O)C(=CC)C
P52732,KIF11,inhibitor,1,0.4489,FC(F)(F)C1=CC=C(C2=CC=C(NC(N)=O)C=C2)C=C1
Q06124,PTPN11,inhibitor,3,0.4482,OC1=C(O)C(CCC2=C(C/C=C(C)\C)C(OC)=C(C)C(O)=C2)=CC=C1
P33527,ABCC1,inhibitor,2,0.4477,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
O00418,EEF2K,inhibitor,2,0.4475,O=C1C(C(N2CCCC2)=O)=CC3=CC(O)=CC=C3O1
O00418,EEF2K,inhibitor,2,0.4474,O=C1C(C(N2CCOCC2)=O)=CC3=CC(O)=CC=C3O1
P37231,PPARG,inhibitor,2,0.4472,O=C(NC1=CC=CC=C1)C2=CC([N+]([O-])=O)=CC=C2Cl
O00418,EEF2K,inhibitor,2,0.4472,CN1CC(COC2=CC=CC3=C2C=CC(Br)=C3)C(C4=CC=CC=C4)CC1
P26358,DNMT1,inhibitor,2,0.4468,NNC1=C2C(C=CC=C2)=CN=N1
,tubulin,inhibitor,1,0.4467,CN(C)C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2C3=CC=C(C=C3)F
,tubulin,inhibitor,1,0.4464,COC1=CC=C(C=C1)CON=C2C3=CC=CC=C3C(=O)C4=CC=CC=C42
Q6RVA0,MDR1,inhibitor,2,0.446,O=C(OC1=C2C=C(OC)C(OC)=C1)C3=C2C(C4=CC=C(OC)C(OC)=C4)=CN3CCC5=CC(OC)=C(C=C5)OC
Q14191,WRN,inhibitor,2,0.4458,CCCOCC1=CC(=O)NC1=O
O15379,HDAC3,inhibitor,1,0.445,[H]C(C(NC2=CC=C(C(NC3=CC=C(F)C=C3N)=O)C=C2)=O)C1=CC=CC=C1
Q00535,CDK5,inhibitor,3,0.445,OC1=CC2=C(C=C1OC)OC(C3=C2C(C4=CC=C(O)C(OC)=C4)=C5N3CCC6=C5C=C(OC)C(O)=C6)=O
P11388,TOP2A,inhibitor,1,0.445,OC(C(C=C1)=CC=C1NC2=NC=NC3=C2N=CN3)=O
O00418,EEF2K,inhibitor,2,0.4449,O=C1C(C(N2CCCCC2)=O)=CC3=CC(O)=CC=C3O1
Q6RVA0,MDR1,inhibitor,2,0.4449,[H][C@]1(C2)[C@](C3[C@H](OP[3H])C[C@@]4(C)C(C3[C@@H]2OC(C5=CC=CC=C5)=O)CC[C@H]4C(C)=O)(C)CCC(C1)=O
O15350,TP73,activator,1,0.4447,CC1=CC2=C(CCC3=C(C=CC=C3)N2CCCN(O)O)C=C1
Q8IXJ6,SIRT2,inhibitor,1,0.4447,O=C(CSC1=NN=CN1C(C)C)NC(C=C2)=CC=C2OC3=CC=CC=C3
P61073,CXCR4,inhibitor,2,0.4447,O=C(C1=CC=CC=C1OC)NCC(C=C2)=CC=C2CNS(=O)(C3=CC=C(C)C=C3)=O
P33527,ABCC1,inhibitor,2,0.4447,COC1=CC(OC)=CC(/C=C/C2=CC(OC)=C(OC)C=C2)=C1
P61073,CXCR4,inhibitor,2,0.4446,NCCCCN(CC1=NC=CC=C1C)C(C2=NC=CC(C)=C2)C
P43405,SYK,inhibitor,2,0.4437,COC1=CC=CC=C1CC(CC2=NC3=CC=CC=C3N2)C4=NC5=CC=CC=C5N4
P43405,SYK,inhibitor,2,0.4437,COC1=CC=CC=C1CC(CC(N2)=NC3=C2C=CC=C3)C(N4)=NC5=C4C=CC=C5
P31749,AKT1,inhibitor,1,0.4434,O=C(C1=CC=CC2=C1C3=CC=C2)N(CCCCCCN=C=[Se])C3=O
,tubulin,activator,1,0.4428,COC1=C(C=C(C=C1)CS(=O)(=O)C=CC2=C(C=C(C=C2OC)OC)OC)N
P61073,CXCR4,inhibitor,2,0.4424,COC1=CC2=NC=CC(NC(C)CCCN(CC)CC)=C2C=C1
Q00535,CDK5,inhibitor,3,0.4422,OC1=CC(O)=C(C(C=C(C2=CC=CC=C2)O3)=O)C3=C1C4N(C)CCCC4
P61073,CXCR4,inhibitor,2,0.442,OC1=CC(O)=C2C(OC(C3=CC=C(OC)C=C3)=C(O[C@H](O[C@@H](C)[C@H](O)[C@H]4O)[C@@H]4O)C2=O)=C1C/C=C(C)\C
Q07817,BCL2L1,inhibitor,1,0.4417,C[N+]1=CC2=C(C=CC(OC[O-])=C2OC[O-])C3=C1C4=CC5=C(C=C4C=C3)OCO5
Q6RVA0,MDR1,inhibitor,2,0.4416,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)N4N=C(N=N4)C5=CC(=C(C=C5NC(=O)C6=CC(=O)C7=CC=CC=C7O6)OC)OC)OC
P33527,ABCC1,inhibitor,2,0.4414,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O
P53350,PLK1,inhibitor,1,0.4414,C1=C2C=C(C(=C(C2=C(C(=O)C=C1C(=O)O)O)O)O)O
Q8TF76,HASPIN,inhibitor,1,0.4411,COC1=CC2=C(C=C1)N=C3C=CC(=CC3=C2SCCCN)Cl
P00519,ABL1,inhibitor,3,0.4411,O=C(OC1=CC=CC=C1)[C@@]23CC[C@@]4(C)[C@]5(C)CC[C@@]6([H])C(C)(C)[C@@H](O)CC[C@]6(C)[C@@]5([H])CC=C4[C@]2([H])CC(C)(C)CC3
Q00535,CDK5,inhibitor,3,0.4409,NC1CCC2(C)C(CCC3C2CCC4(C)C3CCC4)C1
