UniProt_Accession,Gene_Name,Confidence_Level,SMILES,InChI_Key,Molecular_Formula,Molecular_Weight,Classification
Q00987,MDM2,1,C[C@]1(C2=CC=C(Cl)C=C2)[C@](C3=CC=C(Cl)C=C3)(C)N(C(N4CCN(CCCS(=O)(C)=O)CC4)=O)C(C5=CC=C(C(C)(C)C)C=C5OCC)=N1,QBGKPEROWUKSBK-QPPIDDCLSA-N,C38H48Cl2N4O4S,727.80,inhibitor
Q00987,MDM2,1,[H][C@]1(N2CSC1)[C@@H](C3=C(Cl)C=C(Cl)C=C3)[C@H](C(/C=C/C4=C(Cl)C=C(Cl)C=C4)=O)[C@@]2(C5=CC=CC=C5N6)C6=O,ARMYWBPEGFHSMO-LHUXSZRYSA-N,C28H20Cl4N2O2S,590.36,inhibitor
Q9Y297,BTRC,3,O=C1C(C(NC2=CC(C3=CC=NN3)=CC=C2)=O)=CC=C(C(F)(F)F)N1,KRFAUNDDLPKBNF-UHFFFAOYSA-N,C16H11F3N4O2,348.28,activator
Q9Y297,BTRC,3,O=C1C(C(NC2=CC(C3=NN=NN3)=CC=C2)=O)=CC=C(C(F)(F)F)N1,IAVMZDPIQIVLOG-UHFFFAOYSA-N,C14H9F3N6O2,350.26,activator
Q9Y297,BTRC,3,O=C1C(C(NC2=CC(C(O)=O)=CC=C2)=O)=C(OC3=C(Cl)C=CC=C3Cl)C=C(C(F)(F)F)N1,NABHNGGLEJFXPO-UHFFFAOYSA-N,C20H11Cl2F3N2O5,487.22,activator
Q9Y297,BTRC,3,O=C1C(C(NC2=CC(C(O)=O)=CC=C2)=O)=C(SC3=C(Cl)C=CC=C3Cl)C=C(C(F)(F)F)N1,HFBGFWJURBVNFD-UHFFFAOYSA-N,C20H11Cl2F3N2O4S,503.29,activator
Q9Y297,BTRC,3,O=C1C(C(N2CC(C(C#N)=CC=C3)=C3C2)=O)=C(SC4=C(Cl)C=CC=C4Cl)C=C(C(F)(F)F)N1,BMQXGPBUQGPLOV-UHFFFAOYSA-N,C22H12Cl2F3N3O2S,510.32,activator
Q9Y297,BTRC,3,O=C1C(C(NC2=CC(C(N(C)C)=O)=CC=C2)=O)=C(SC3=C(Cl)C=CC=C3Cl)C=C(C(F)(F)F)N1,BGEHEUAOZPAMKC-UHFFFAOYSA-N,C22H16Cl2F3N3O3S,530.36,activator
Q9Y297,BTRC,3,O=C1C(C(N2CC(C=C(OC)C(OC)=C3)=C3C2)=O)=C(SC4=C(Cl)C=CC=C4Cl)C=C(C(F)(F)F)N1,SPAYLOCXFWJEBL-UHFFFAOYSA-N,C23H17Cl2F3N2O4S,545.37,activator
Q9NPI1,BRD7,3,CN(CC1)CCN1C2=CC=CC=C2CNC3=C(CCCC)C(N(C)N=C3)=O,UXFKGTAATGRBOW-UHFFFAOYSA-N,C21H31N5O,369.51,inhibitor
