UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
Q9H211,CDT1,GO:0072708|GO:1905342|GO:0035563|GO:1905341|GO:0016604|GO:0033044|GO:0030174|GO:0006260|GO:0033262|GO:1902595|GO:0007059|GO:0000777|GO:0045740|GO:0000776|GO:0000278|GO:0005654|GO:0051301|GO:0005623|GO:0070182|GO:0000083|GO:0051383|GO:0000082|GO:0005829|GO:0031334|GO:0003682|GO:1902426|GO:0071163|GO:0003677|GO:0005634|GO:0000076|GO:0005515|GO:2000105|GO:0051315,response to sorbitol|positive regulation of protein localization to kinetochore|positive regulation of chromatin binding|negative regulation of protein localization to kinetochore|nuclear body|regulation of chromosome organization|regulation of DNA-dependent DNA replication initiation|DNA replication|regulation of nuclear cell cycle DNA replication|regulation of DNA replication origin binding|chromosome segregation|condensed chromosome kinetochore|positive regulation of DNA replication|kinetochore|mitotic cell cycle|nucleoplasm|cell division|cell|DNA polymerase binding|regulation of transcription involved in G1/S transition of mitotic cell cycle|kinetochore organization|G1/S transition of mitotic cell cycle|cytosol|positive regulation of protein-containing complex assembly|chromatin binding|deactivation of mitotic spindle assembly checkpoint|DNA replication preinitiation complex assembly|DNA binding|nucleus|DNA replication checkpoint|protein binding|positive regulation of DNA-dependent DNA replication|attachment of mitotic spindle microtubules to kinetochore,DNA replication factor Cdt1,,4,
Q9Y297,BTRC,GO:0061630|GO:0045309|GO:0061136|GO:0038095|GO:0043122|GO:0045862|GO:0042752|GO:0060444|GO:0042753|GO:0043687|GO:0002223|GO:0005654|GO:0000086|GO:0045892|GO:0045893|GO:0060828|GO:0016032|GO:0005829|GO:0016055|GO:0033598|GO:0019005|GO:0016874|GO:0050852|GO:0051403|GO:1901990|GO:0007165|GO:0000209|GO:0006470|GO:0038061|GO:0043433|GO:0046983|GO:0008013|GO:0045879|GO:0006511|GO:0031648|GO:0004842|GO:0043161|GO:0005515|GO:0048511|GO:0031146|GO:0070498|GO:0071407|GO:0016567,ubiquitin protein ligase activity|protein phosphorylated amino acid binding|regulation of proteasomal protein catabolic process|Fc-epsilon receptor signaling pathway|regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of proteolysis|regulation of circadian rhythm|branching involved in mammary gland duct morphogenesis|positive regulation of circadian rhythm|post-translational protein modification|stimulatory C-type lectin receptor signaling pathway|nucleoplasm|G2/M transition of mitotic cell cycle|negative regulation of transcription  DNA-templated|positive regulation of transcription  DNA-templated|regulation of canonical Wnt signaling pathway|viral process|cytosol|Wnt signaling pathway|mammary gland epithelial cell proliferation|SCF ubiquitin ligase complex|ligase activity|T cell receptor signaling pathway|stress-activated MAPK cascade|regulation of mitotic cell cycle phase transition|signal transduction|protein polyubiquitination|protein dephosphorylation|NIK/NF-kappaB signaling|negative regulation of DNA-binding transcription factor activity|protein dimerization activity|beta-catenin binding|negative regulation of smoothened signaling pathway|ubiquitin-dependent protein catabolic process|protein destabilization|ubiquitin-protein transferase activity|proteasome-mediated ubiquitin-dependent protein catabolic process|protein binding|rhythmic process|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|interleukin-1-mediated signaling pathway|cellular response to organic cyclic compound|protein ubiquitination,F-box/WD repeat-containing protein 1A,BTRCP|FBW1A|FBXW1A,3,
Q9UJX2,CDC23,GO:0030071|GO:0070979|GO:1901990|GO:0005680|GO:0007096|GO:0045842|GO:0000278|GO:0005622|GO:0005654|GO:0006511|GO:0051301|GO:0004842|GO:0005623|GO:0005515|GO:0005737|GO:0031145|GO:0005829|GO:0007080|GO:0007091|GO:0016567,regulation of mitotic metaphase/anaphase transition|protein K11-linked ubiquitination|regulation of mitotic cell cycle phase transition|anaphase-promoting complex|regulation of exit from mitosis|positive regulation of mitotic metaphase/anaphase transition|mitotic cell cycle|intracellular|nucleoplasm|ubiquitin-dependent protein catabolic process|cell division|ubiquitin-protein transferase activity|cell|protein binding|cytoplasm|anaphase-promoting complex-dependent catabolic process|cytosol|mitotic metaphase plate congression|metaphase/anaphase transition of mitotic cell cycle|protein ubiquitination,Cell division cycle protein 23 homolog,ANAPC8,4,
Q9UJX4,ANAPC5,GO:0051301|GO:0005634|GO:0070979|GO:0019903|GO:1901990|GO:0005680|GO:0031145|GO:0005829|GO:0045842|GO:0007049|GO:0005654|GO:0006511,cell division|nucleus|protein K11-linked ubiquitination|protein phosphatase binding|regulation of mitotic cell cycle phase transition|anaphase-promoting complex|anaphase-promoting complex-dependent catabolic process|cytosol|positive regulation of mitotic metaphase/anaphase transition|cell cycle|nucleoplasm|ubiquitin-dependent protein catabolic process,Anaphase-promoting complex subunit 5,APC5,4,
Q9UJX5,ANAPC4,GO:0070979|GO:0019903|GO:1901990|GO:0005680|GO:0045842|GO:0007049|GO:0005654|GO:0006511|GO:0051301|GO:0004842|GO:0005634|GO:0005515|GO:0031145|GO:0005829|GO:0034399,protein K11-linked ubiquitination|protein phosphatase binding|regulation of mitotic cell cycle phase transition|anaphase-promoting complex|positive regulation of mitotic metaphase/anaphase transition|cell cycle|nucleoplasm|ubiquitin-dependent protein catabolic process|cell division|ubiquitin-protein transferase activity|nucleus|protein binding|anaphase-promoting complex-dependent catabolic process|cytosol|nuclear periphery,Anaphase-promoting complex subunit 4,APC4,4,
Q9UBU7,DBF4,GO:0008270|GO:0016604|GO:0043539|GO:0010571|GO:0006260|GO:0008047|GO:1901987|GO:0005654|GO:0003676|GO:0005634|GO:0005515|GO:0000082|GO:0031431|GO:0071902,zinc ion binding|nuclear body|protein serine/threonine kinase activator activity|positive regulation of nuclear cell cycle DNA replication|DNA replication|enzyme activator activity|regulation of cell cycle phase transition|nucleoplasm|nucleic acid binding|nucleus|protein binding|G1/S transition of mitotic cell cycle|Dbf4-dependent protein kinase complex|positive regulation of protein serine/threonine kinase activity,Protein DBF4 homolog A,ASK|DBF4A|ZDBF1,4,
Q9Y250,LZTS1,GO:0014069|GO:0006351|GO:0006355|GO:0044772|GO:0048814|GO:0008017|GO:0003677|GO:0003700|GO:0005515|GO:0005737|GO:0045211|GO:0043198|GO:0043197|GO:0044297|GO:0048167|GO:0016242|GO:0016324,postsynaptic density|transcription  DNA-templated|regulation of transcription  DNA-templated|mitotic cell cycle phase transition|regulation of dendrite morphogenesis|microtubule binding|DNA binding|DNA-binding transcription factor activity|protein binding|cytoplasm|postsynaptic membrane|dendritic shaft|dendritic spine|cell body|regulation of synaptic plasticity|negative regulation of macroautophagy|apical plasma membrane,Leucine zipper putative tumor suppressor 1,FEZ1,4,
O95613,PCNT,GO:0090316|GO:0060271|GO:0007165|GO:0007052|GO:0034451|GO:0000226|GO:0005874|GO:0005516|GO:0005813|GO:0000086|GO:0005515|GO:0005814|GO:0097711|GO:0016020|GO:0005829|GO:0010389|GO:0060090,positive regulation of intracellular protein transport|cilium assembly|signal transduction|mitotic spindle organization|centriolar satellite|microtubule cytoskeleton organization|microtubule|calmodulin binding|centrosome|G2/M transition of mitotic cell cycle|protein binding|centriole|ciliary basal body-plasma membrane docking|membrane|cytosol|regulation of G2/M transition of mitotic cell cycle|molecular adaptor activity,Pericentrin,KIAA0402|PCNT2,4,
O75147,OBSL1,GO:0008093|GO:0007010|GO:0007088|GO:0034067|GO:0007030|GO:0005794|GO:0000226|GO:1990393|GO:0043687|GO:0030018|GO:0005813|GO:0005515|GO:0048471|GO:0005737|GO:0005829|GO:0014704|GO:0055003|GO:0031430|GO:0050775,cytoskeletal anchor activity|cytoskeleton organization|regulation of mitotic nuclear division|protein localization to Golgi apparatus|Golgi organization|Golgi apparatus|microtubule cytoskeleton organization|3M complex|post-translational protein modification|Z disc|centrosome|protein binding|perinuclear region of cytoplasm|cytoplasm|cytosol|intercalated disc|cardiac myofibril assembly|M band|positive regulation of dendrite morphogenesis,Obscurin-like protein 1,KIAA0657,4,
Q9UHI8,ADAMTS1,GO:0016525|GO:0008270|GO:1900087|GO:0008285|GO:0062023|GO:0008201|GO:1904754|GO:0004222|GO:0060347|GO:0008237|GO:0001542|GO:0005604|GO:0007229|GO:1904707|GO:0001822|GO:0006508|GO:0031410,negative regulation of angiogenesis|zinc ion binding|positive regulation of G1/S transition of mitotic cell cycle|negative regulation of cell population proliferation|collagen-containing extracellular matrix|heparin binding|positive regulation of vascular associated smooth muscle cell migration|metalloendopeptidase activity|heart trabecula formation|metallopeptidase activity|ovulation from ovarian follicle|basement membrane|integrin-mediated signaling pathway|positive regulation of vascular smooth muscle cell proliferation|kidney development|proteolysis|cytoplasmic vesicle,A disintegrin and metalloproteinase with thrombospondin motifs 1,KIAA1346|METH1,4,
